XL2 Broadband Logging:		$FILENAME                                                     
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-06200-E0, FW2.50
	Mic Type:       	NTi Audio M4260, S/N: 3530, Factory adjusted 
	Mic Sensitivity:	28.8 mV/Pa

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	20 - 120 dB

# Time
	Start:          	2017-06-25, 09:12:14
	End:            	--------------------

# Broadband LOG Results
	Date        	Time      	Timer     	LAeq_dt 	LAeq    
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]    	[dB]    
	2017-06-25  	09:16:11  	00:03:57  	50.0    	60.1    
	2017-06-25  	09:16:12  	00:03:58  	50.1    	60.0    
	2017-06-25  	09:16:13  	00:03:59  	49.8    	60.0    
	2017-06-25  	09:16:14  	00:04:00  	50.2    	60.0    
	2017-06-25  	09:16:15  	00:04:01  	50.5    	60.0    
	2017-06-25  	09:16:16  	00:04:02  	50.3    	60.0    
	2017-06-25  	09:16:17  	00:04:03  	50.0    	60.0    
	2017-06-25  	09:16:18  	00:04:04  	50.4    	59.9    
	2017-06-25  	09:16:19  	00:04:05  	50.8    	59.9    
	2017-06-25  	09:16:20  	00:04:06  	51.0    	59.9    
	2017-06-25  	09:16:21  	00:04:07  	51.0    	59.9    
	2017-06-25  	09:16:22  	00:04:08  	51.6    	59.9    
	2017-06-25  	09:16:23  	00:04:09  	51.9    	59.9    
	2017-06-25  	09:16:24  	00:04:10  	52.1    	59.9    
	2017-06-25  	09:16:25  	00:04:11  	52.2    	59.8    
	2017-06-25  	09:16:26  	00:04:12  	51.8    	59.8    
	2017-06-25  	09:16:27  	00:04:13  	51.3    	59.8    
	2017-06-25  	09:16:28  	00:04:14  	51.1    	59.8    
	2017-06-25  	09:16:29  	00:04:15  	50.3    	59.8    
	2017-06-25  	09:16:30  	00:04:16  	50.4    	59.8    
	2017-06-25  	09:16:31  	00:04:17  	50.9    	59.8    
	2017-06-25  	09:16:32  	00:04:18  	50.0    	59.7    
	2017-06-25  	09:16:33  	00:04:19  	49.9    	59.7    
